text,label
"Scientists discover a new species of deep-sea jellyfish that glows in the dark.",Real
"The local mayor announced a plan to build a new public park downtown.",Real
"NASA's new rover successfully landed on Mars and sent back its first images.",Real
"New study shows that eating chocolate every day guarantees you will live to be 150 years old.",Fake
"Aliens have officially landed in New York and are demanding to speak with the president.",Fake
"Drinking bleach cures all known viral infections, claims anonymous source online.",Fake
"A recent survey indicates that 60% of people prefer remote work over office work.",Real
"The stock market experienced a slight drop today due to global economic concerns.",Real
"Secret government documents reveal that the moon is actually made of Swiss cheese.",Fake
"Celebrity caught shape-shifting into a reptilian humanoid at a local grocery store.",Fake
"Tech company unveils new smartphone with revolutionary battery life.",Real
"Local library to host a series of coding workshops for beginners starting next month.",Real
"Eating a bowl of sand every morning is the secret to a perfect complexion.",Fake
"Global warming is a hoax created to sell more air conditioners, new video claims.",Fake
"Researchers find link between daily exercise and improved cardiovascular health.",Real
